technique_id,name,description,tactics_str,platforms,entity_count,group_count,software_count,frequency_category,total_score,all_entities,groups,software,detection_available,detection_notes,NIDS_Classification,NIDS_Reasoning,Network_Artifact
T1562.001,Disable or Modify Tools,"Adversaries may modify and/or disable security tools to avoid possible detection of their malware/tools and activities. This may take many forms, such as killing security software processes or services, modifying / deleting Registry keys or configuration files so that tools do not operate properly, ...",defense-evasion,"Containers, IaaS, Linux, macOS, Network Devices, Windows",8,5,3,High-Priority,100.0,"APT38, Carberp, Indrik Spider, Lazarus Group, QakBot, TA505, TrickBot, Wizard Spider","APT38, Indrik Spider, Lazarus Group, TA505, Wizard Spider","Carberp, QakBot, TrickBot",False,,NO,Disabling security tools is local host activity,
T1070.004,File Deletion,"Adversaries may delete files left behind by the actions of their intrusion activity. Malware, tools, or other non-native files dropped or created on a system by an adversary (ex: [Ingress Tool Transfer](https://attack.mitre.org/techniques/T1105)) may leave traces to indicate to what was done within ...",defense-evasion,"ESXi, Linux, macOS, Windows",7,5,2,High-Priority,95.0,"APT38, Carbanak, Cobalt Group, Lazarus Group, QakBot, Silence, Wizard Spider","APT38, Cobalt Group, Lazarus Group, Silence, Wizard Spider","Carbanak, QakBot",False,,NO,Local file deletion operations only,
T1140,Deobfuscate/Decode Files or Information,Adversaries may use [Obfuscated Files or Information](https://attack.mitre.org/techniques/T1027) to hide artifacts of an intrusion from analysis. They may require separate mechanisms to decode or deobfuscate that information depending on how they intend to use it. Methods for doing that include buil...,defense-evasion,"ESXi, Linux, macOS, Windows",7,4,3,High-Priority,91.0,"APT38, Dyre, Lazarus Group, Malteiro, QakBot, TA505, TrickBot","APT38, Lazarus Group, Malteiro, TA505","Dyre, QakBot, TrickBot",False,,NO,Local file deobfuscation and decoding,
T1218.011,Rundll32,"Adversaries may abuse rundll32.exe to proxy execution of malicious code. Using rundll32.exe, vice executing directly (i.e. [Shared Modules](https://attack.mitre.org/techniques/T1129)), may avoid triggering security tools that may not monitor execution of the rundll32.exe process because of allowlist...",defense-evasion,Windows,6,5,1,High-Priority,90.0,"APT38, Carbanak, Lazarus Group, QakBot, TA505, Wizard Spider","APT38, Carbanak, Lazarus Group, TA505, Wizard Spider",QakBot,False,,NO,Local process execution via rundll32,
T1553.002,Code Signing,"Adversaries may create, acquire, or steal code signing materials to sign their malware or tools. Code signing provides a level of authenticity on a binary from the developer and a guarantee that the binary has not been tampered with. (Citation: Wikipedia Code Signing) The certificates used during an...",defense-evasion,"macOS, Windows",6,4,2,High-Priority,86.0,"Lazarus Group, QakBot, Silence, TA505, TrickBot, Wizard Spider","Lazarus Group, Silence, TA505, Wizard Spider","QakBot, TrickBot",False,,NO,Code signing is local file operation,
T1112,Modify Registry,"Adversaries may interact with the Windows Registry as part of a variety of other techniques to aid in defense evasion, persistence, and execution.

Access to specific areas of the Registry depends on account permissions, with some keys requiring administrator-level access. The built-in Windows comma...","defense-evasion, persistence",Windows,7,5,2,High-Priority,81.2,"APT38, Indrik Spider, QakBot, Silence, TA505, TrickBot, Wizard Spider","APT38, Indrik Spider, Silence, TA505, Wizard Spider","QakBot, TrickBot",False,,NO,Registry modification is local to host,
T1027.010,Command Obfuscation,Adversaries may obfuscate content during command execution to impede detection. Command-line obfuscation is a method of making strings and patterns within commands and scripts more difficult to signature and analyze. This type of obfuscation can be included within commands executed by delivered payl...,defense-evasion,"Linux, macOS, Windows",5,4,1,Common,81.0,"Cobalt Group, QakBot, Silence, TA505, Wizard Spider","Cobalt Group, Silence, TA505, Wizard Spider",QakBot,False,,NO,Command obfuscation in local shell,
T1036.005,Match Legitimate Resource Name or Location,"Adversaries may match or approximate the name or location of legitimate files, Registry keys, or other resources when naming/placing them. This is done for the sake of evading defenses and observation. 

This may be done by placing an executable in a commonly trusted directory (ex: under System32) o...",defense-evasion,"Containers, ESXi, Linux, macOS, Windows",5,4,1,Common,81.0,"Carbanak, Carberp, Indrik Spider, Lazarus Group, Silence","Carbanak, Indrik Spider, Lazarus Group, Silence",Carberp,False,,NO,File renaming and placement locally,
T1055,Process Injection,Adversaries may inject code into processes in order to evade process-based defenses as well as possibly elevate privileges. Process injection is a method of executing arbitrary code in the address space of a separate live process. Running code in the context of another process may allow access to th...,"defense-evasion, privilege-escalation","Linux, macOS, Windows",7,4,3,High-Priority,77.6,"APT38, Cobalt Group, Dyre, QakBot, Silence, TrickBot, Wizard Spider","APT38, Cobalt Group, Silence, Wizard Spider","Dyre, QakBot, TrickBot",False,,NO,"Process injection is memory-based, local",
T1027.013,Encrypted/Encoded File,"Adversaries may encrypt or encode files to obfuscate strings, bytes, and other specific patterns to impede detection. Encrypting and/or encoding file content aims to conceal malicious artifacts within a file used in an intrusion. Many other techniques, such as [Software Packing](https://attack.mitre...",defense-evasion,"Linux, macOS, Windows",5,3,2,Common,77.0,"Carberp, Lazarus Group, Malteiro, TA505, TrickBot","Lazarus Group, Malteiro, TA505","Carberp, TrickBot",False,,NO,File encryption is local operation,
