technique_id,name,split_type,pattern,Claude,Grok,GPT,Gemini
T1105,Ingress Tool Transfer,PARTIAL vs YES,"{'PARTIAL': 2, 'YES': 2}",PARTIAL,PARTIAL,YES,YES
T1218.007,Msiexec,NO vs PARTIAL,"{'NO': 2, 'PARTIAL': 2}",NO,NO,PARTIAL,PARTIAL
T1218.005,Mshta,NO vs PARTIAL,"{'NO': 2, 'PARTIAL': 2}",NO,NO,PARTIAL,PARTIAL
T1027.003,Steganography,PARTIAL vs NO,"{'PARTIAL': 2, 'NO': 2}",PARTIAL,NO,NO,PARTIAL
T1218.003,CMSTP,NO vs PARTIAL,"{'NO': 2, 'PARTIAL': 2}",NO,NO,PARTIAL,PARTIAL
T1220,XSL Script Processing,NO vs PARTIAL,"{'NO': 2, 'PARTIAL': 2}",NO,NO,PARTIAL,PARTIAL
T1018,Remote System Discovery,PARTIAL vs YES,"{'PARTIAL': 2, 'YES': 2}",PARTIAL,YES,YES,PARTIAL
T1189,Drive-by Compromise,PARTIAL vs YES,"{'PARTIAL': 2, 'YES': 2}",PARTIAL,YES,PARTIAL,YES
T1203,Exploitation for Client Execution,Mixed,"{'PARTIAL': 1, 'NO': 1, 'YES': 2}",PARTIAL,NO,YES,YES
T1204.001,Malicious Link,PARTIAL vs YES,"{'PARTIAL': 2, 'YES': 2}",PARTIAL,YES,PARTIAL,YES
T1185,Browser Session Hijacking,NO vs PARTIAL,"{'NO': 2, 'PARTIAL': 2}",NO,NO,PARTIAL,PARTIAL
T1069,Permission Groups Discovery,PARTIAL vs NO,"{'PARTIAL': 2, 'NO': 2}",PARTIAL,NO,PARTIAL,NO
T1486,Data Encrypted for Impact,PARTIAL vs NO,"{'PARTIAL': 2, 'NO': 2}",PARTIAL,NO,NO,PARTIAL
T1087.002,Domain Account,PARTIAL vs YES,"{'PARTIAL': 2, 'YES': 2}",PARTIAL,PARTIAL,YES,YES
T1008,Fallback Channels,YES vs PARTIAL,"{'YES': 2, 'PARTIAL': 2}",YES,PARTIAL,PARTIAL,YES
T1558.003,Kerberoasting,PARTIAL vs YES,"{'PARTIAL': 2, 'YES': 2}",PARTIAL,YES,PARTIAL,YES
T1505.003,Web Shell,PARTIAL vs YES,"{'PARTIAL': 2, 'YES': 2}",PARTIAL,PARTIAL,YES,YES
T1657,Financial Theft,PARTIAL vs NO,"{'PARTIAL': 2, 'NO': 2}",PARTIAL,NO,NO,PARTIAL
T1608.001,Upload Malware,Mixed,"{'NO': 2, 'PARTIAL': 1, 'YES': 1}",NO,NO,PARTIAL,YES
T1539,Steal Web Session Cookie,NO vs PARTIAL,"{'NO': 2, 'PARTIAL': 2}",NO,NO,PARTIAL,PARTIAL
T1590,Gather Victim Network Information,NO vs YES,"{'NO': 2, 'YES': 2}",NO,NO,YES,YES
