technique_id,name,consensus,agreement_count,claude,grok,gpt,gemini
T1105,Ingress Tool Transfer,NO_CONSENSUS,0,PARTIAL,PARTIAL,YES,YES
T1218.007,Msiexec,NO_CONSENSUS,0,NO,NO,PARTIAL,PARTIAL
T1218.005,Mshta,NO_CONSENSUS,0,NO,NO,PARTIAL,PARTIAL
T1027.003,Steganography,NO_CONSENSUS,0,PARTIAL,NO,NO,PARTIAL
T1218.003,CMSTP,NO_CONSENSUS,0,NO,NO,PARTIAL,PARTIAL
T1220,XSL Script Processing,NO_CONSENSUS,0,NO,NO,PARTIAL,PARTIAL
T1018,Remote System Discovery,NO_CONSENSUS,0,PARTIAL,YES,YES,PARTIAL
T1189,Drive-by Compromise,NO_CONSENSUS,0,PARTIAL,YES,PARTIAL,YES
T1203,Exploitation for Client Execution,NO_CONSENSUS,0,PARTIAL,NO,YES,YES
T1204.001,Malicious Link,NO_CONSENSUS,0,PARTIAL,YES,PARTIAL,YES
T1185,Browser Session Hijacking,NO_CONSENSUS,0,NO,NO,PARTIAL,PARTIAL
T1069,Permission Groups Discovery,NO_CONSENSUS,0,PARTIAL,NO,PARTIAL,NO
T1486,Data Encrypted for Impact,NO_CONSENSUS,0,PARTIAL,NO,NO,PARTIAL
T1087.002,Domain Account,NO_CONSENSUS,0,PARTIAL,PARTIAL,YES,YES
T1008,Fallback Channels,NO_CONSENSUS,0,YES,PARTIAL,PARTIAL,YES
T1558.003,Kerberoasting,NO_CONSENSUS,0,PARTIAL,YES,PARTIAL,YES
T1505.003,Web Shell,NO_CONSENSUS,0,PARTIAL,PARTIAL,YES,YES
T1657,Financial Theft,NO_CONSENSUS,0,PARTIAL,NO,NO,PARTIAL
T1608.001,Upload Malware,NO_CONSENSUS,0,NO,NO,PARTIAL,YES
T1539,Steal Web Session Cookie,NO_CONSENSUS,0,NO,NO,PARTIAL,PARTIAL
T1590,Gather Victim Network Information,NO_CONSENSUS,0,NO,NO,YES,YES
