technique_id,name,consensus,agreement_count,claude,grok,gpt,gemini
T1140,Deobfuscate/Decode Files or Information,NO,4,NO,NO,NO,NO
T1070.004,File Deletion,NO,4,NO,NO,NO,NO
T1027.013,Encrypted/Encoded File,NO,4,NO,NO,NO,NO
T1036.005,Match Legitimate Resource Name or Location,NO,4,NO,NO,NO,NO
T1562.001,Disable or Modify Tools,NO,4,NO,NO,NO,NO
T1218.011,Rundll32,NO,3,NO,NO,NO,PARTIAL
T1027.010,Command Obfuscation,NO,4,NO,NO,NO,NO
T1112,Modify Registry,NO,4,NO,NO,NO,NO
T1027.002,Software Packing,NO,3,NO,NO,NO,PARTIAL
T1553.002,Code Signing,NO,4,NO,NO,NO,NO
T1105,Ingress Tool Transfer,NO_CONSENSUS,0,PARTIAL,PARTIAL,YES,YES
T1543.003,Windows Service,NO,4,NO,NO,NO,NO
T1071.001,Web Protocols,YES,4,YES,YES,YES,YES
T1057,Process Discovery,NO,4,NO,NO,NO,NO
T1082,System Information Discovery,NO,4,NO,NO,NO,NO
T1204.002,Malicious File,NO,4,NO,NO,NO,NO
T1059.003,Windows Command Shell,NO,4,NO,NO,NO,NO
T1059.005,Visual Basic,NO,4,NO,NO,NO,NO
T1059.001,PowerShell,NO,4,NO,NO,NO,NO
T1055,Process Injection,NO,4,NO,NO,NO,NO
T1547.001,Registry Run Keys / Startup Folder,NO,4,NO,NO,NO,NO
T1218.007,Msiexec,NO_CONSENSUS,0,NO,NO,PARTIAL,PARTIAL
T1053.005,Scheduled Task,NO,4,NO,NO,NO,NO
T1562.004,Disable or Modify System Firewall,NO,3,PARTIAL,NO,NO,NO
T1518.001,Security Software Discovery,NO,4,NO,NO,NO,NO
T1106,Native API,NO,4,NO,NO,NO,NO
T1566.001,Spearphishing Attachment,PARTIAL,3,PARTIAL,PARTIAL,PARTIAL,YES
T1055.001,Dynamic-link Library Injection,NO,4,NO,NO,NO,NO
T1553.005,Mark-of-the-Web Bypass,NO,4,NO,NO,NO,NO
T1070.006,Timestomp,NO,4,NO,NO,NO,NO
T1012,Query Registry,NO,4,NO,NO,NO,NO
T1588.002,Tool,NO,3,NO,NO,NO,YES
T1027,Obfuscated Files or Information,NO,3,NO,NO,NO,PARTIAL
T1564.001,Hidden Files and Directories,NO,4,NO,NO,NO,NO
T1218.010,Regsvr32,NO,3,NO,NO,NO,PARTIAL
T1218.001,Compiled HTML File,NO,4,NO,NO,NO,NO
T1218.005,Mshta,NO_CONSENSUS,0,NO,NO,PARTIAL,PARTIAL
T1036.003,Rename Legitimate Utilities,NO,4,NO,NO,NO,NO
T1036.004,Masquerade Task or Service,NO,4,NO,NO,NO,NO
T1070.001,Clear Windows Event Logs,NO,4,NO,NO,NO,NO
T1083,File and Directory Discovery,NO,4,NO,NO,NO,NO
T1005,Data from Local System,NO,4,NO,NO,NO,NO
T1027.003,Steganography,NO_CONSENSUS,0,PARTIAL,NO,NO,PARTIAL
T1027.009,Embedded Payloads,NO,4,NO,NO,NO,NO
T1070,Indicator Removal,NO,4,NO,NO,NO,NO
T1078,Valid Accounts,PARTIAL,3,PARTIAL,NO,PARTIAL,PARTIAL
